FICD_v03_ElMD_rank,Synthesizable,material_id,formula,crystal_system,Space Group Symbol,Space Group Number,Sites,energy_above_hull,formation_energy,predicted_stable,Volume,density,band_gap,Is Gap Direct,is_metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant,S,G,SII,family_support_count,cross_family_Q
13,True,mp-779008,Li4Mn3O8,Trigonal,R32,155,60,0.026494299333328,-2.094726110475096,False,576.8656962022792,3.691150643778883,1.7479,False,False,FM,36.002924,,,,,,,,,,,,,,,,0.4697470683624938,0.5745674626669299,0.8517782220617052,4,0.9229183181959849
14,True,mp-1175314,Li7Mn5O12,Triclinic,P-1,2,24,0.013231291458321,-2.156760055541188,False,206.98934191174493,4.133671803861651,0.9682,False,False,FM,17.9999998,,,,,,,,,,,,,,,,0.7351909179836491,0.31810407210051994,0.8502974253681304,4,0.9221157331746002
15,True,mp-1173962,Li3Mn2O5,Triclinic,P-1,2,20,0.021640222999987,-2.1503754005862072,False,180.9942135969892,3.866080375408086,1.0029,False,False,AFM,8e-07,,,,,,,,,,,,,,,,0.5668958237896105,0.32951779488191585,0.846875209101348,4,0.9202582295754534
16,False,mp-19279,Li2MnO2,Trigonal,P-3m1,164,5,0.027874728000002,-2.02211192691954,False,45.6460801235464,3.667645289997864,2.4263,False,False,FM,5.0000001,,,,,,,,,,,,,13.27559292333494,9.568040320001606,3.707552603333333,0.4421193761479816,0.7977106769291494,0.8249772635012077,4,0.9082825901123547
17,True,mp-675370,LiMnO2,Orthorhombic,Pmm2,25,56,0.015345056607142,-2.144524907458949,False,542.5105703452874,4.022833336060233,0.896799999999999,False,False,FM,56.0003766,,,,,,,,,,,,,,,,0.6928863394456691,0.29461877508058676,0.7912892028994722,4,0.8895443793872637
18,True,mp-1173947,Li3Mn2O5,Triclinic,P-1,2,20,0.022656905999987,-2.149358717586207,False,181.11593779157567,3.863482064482822,0.943099999999999,False,False,AFM,9e-07,,,,,,,,,,,,,,,,0.5465480827713052,0.30984803631340035,0.7987426336331609,2,0.6319583188918241
19,True,mp-2506805,LiMnO2,Monoclinic,C2/c,15,16,0.029270926249999,-2.130599037816093,False,158.1690921698239,3.942308246755185,1.664499999999999,False,False,AFM,0.0,,,,,,,,,,,,,,,,0.4141760738589201,0.5471350569041509,0.7565189319234962,4,0.8697809677864285
20,True,mp-1174296,Li4Mn3O7,Triclinic,P-1,2,28,0.023999256785701,-2.144546178366174,False,257.8889713454531,3.922284191502756,0.9933,False,False,FM,22.0019168,,,,,,,,,,,,,,,,0.5196824755530995,0.3263601078876392,0.8169073695670973,2,0.6391038137764072
21,True,mp-1175313,Li7Mn5O12,Triclinic,P-1,2,48,0.023691507499989,-2.146299839499521,False,441.8700877656158,3.872749163389011,1.0098,False,False,AFM,2.499999999999999e-06,,,,,,,,,,,,,,,,0.525841723582462,0.33178738240905226,0.8377222998856749,3,0.7926485506920808
22,True,mp-1175349,Li7Mn5O12,Triclinic,P-1,2,24,0.023992494374987,-2.145998852624522,False,222.2407982221028,3.84999519982539,1.0023,False,False,FiM,1.9999593,,,,,,,,,,,,,,,,0.5198178174264936,0.32932043944477357,0.8253134488316862,3,0.7867560528040218
23,True,mp-1638896,Li5Mn6O12,Triclinic,P1,1,23,0.027114572826088,-2.110002701054474,False,230.4165051803447,4.009266490176111,1.2066,False,False,FiM,1.0000629,,,,,,,,,,,,,,,,0.4573330077445823,0.3965199657917244,0.7895645729908874,3,0.7695280565016233
24,True,mp-753028,Li3Mn4O8,Monoclinic,C2/m,12,15,0.027425578000007,-2.094911739448276,False,150.6555037477213,4.062417233733914,1.2818,False,False,FiM,0.999999899999999,,,,,,,,,,,,,,,,0.4511085968571603,0.4212551805802252,0.7885106018717375,3,0.7690142725618316
25,True,mp-1643099,Li7Mn5O12,Triclinic,P-1,2,48,0.027229094374988,-2.142762252624521,False,440.4951292094962,3.88483753677798,1.2079,False,False,AFM,0.0,,,,,,,,,,,,,,,,0.4550409906477759,0.3969475692388661,0.7828206600335357,3,0.7662346213955304
